x,y
-1902.39339047,0.0033782558
-1900.81988352566,0.0040792227
-1899.24637658132,0.0061714486
-1897.6728696369798,0.00831965
-1896.09936269264,0.0052176667
-1894.5258557483,0.002940475
-1892.95234880396,0.0073033646
-1891.37884185962,0.0091303885
-1889.80533491528,0.0073073627
-1888.23182797094,0.008895621
-1886.6583210265999,0.0065836767
-1885.08481408226,0.007666324
-1883.51130713792,0.0109757325
-1881.93780019358,0.010316182
-1880.3642932492398,0.0075434386
-1878.7907863049,0.0072607505
-1877.21727936056,0.011362314
-1875.6437724162201,0.0084073525
-1874.07026547188,0.01027029
-1872.49675852754,0.008411553
-1870.9232515832,0.006232979
-1869.34974463886,0.00707118
-1867.77623769452,0.0059800153
-1866.20273075018,0.002744561
-1864.62922380584,0.003258925
-1863.0557168614998,0.004478474
-1861.48220991716,0.005915676
-1859.90870297282,0.010027289
-1858.3351960284801,0.009545912
-1856.7616890841398,0.0074557653
-1855.1881821398,0.002255756
-1853.61467519546,0.00476957
-1852.04116825112,0.009800938
-1850.46766130678,0.0067356806
-1848.8941543624398,0.004251111
-1847.3206474181,0.0029358037
-1845.74714047376,0.0060983445
-1844.17363352942,0.009084798
-1842.60012658508,0.008743887
-1841.0266196407401,0.006314097
-1839.4531126964,0.007975667
-1837.87960575206,0.007245706
-1836.30609880772,0.006526147
-1834.73259186338,0.0054899664
-1833.1590849190402,0.010223855
-1831.5855779746998,0.008596282
-1830.01207103036,0.0074756704
-1828.43856408602,0.004843781
-1826.86505714168,0.0054927105
-1825.29155019734,0.006085854
-1823.718043253,0.0015276684
-1822.14453630866,0.004003447
-1820.5710293643199,0.009082822
-1818.99752241998,0.0071567455
-1817.42401547564,0.004559899
-1815.8505085313,0.00610578
-1814.2770015869598,0.0057822154
-1812.70349464262,0.006325322
-1811.12998769828,0.00516009
-1809.5564807539401,0.007853998
-1807.9829738095998,0.0068962616
-1806.40946686526,0.009626758
-1804.83595992092,0.005650471
-1803.26245297658,0.002332048
-1801.68894603224,0.005891135
-1800.1154390878999,0.010192564
-1798.54193214356,0.012953356
-1796.96842519922,0.010246911
-1795.39491825488,0.008193617
-1793.82141131054,0.009219092
-1792.2479043662001,0.009709896
-1790.6743974218598,0.006846278
-1789.10089047752,0.0044257026
-1787.52738353318,0.0049610506
-1785.95387658884,0.0074156662
-1784.3803696445,0.005306023
-1782.8068627001599,0.008687894
-1781.23335575582,0.004698492
-1779.65984881148,0.005718321
-1778.08634186714,0.008936939
-1776.5128349228,0.0076937443
-1774.93932797846,0.005065551
-1773.36582103412,0.008598071
-1771.79231408978,0.005466333
-1770.21880714544,0.0026616938
-1768.6453002011,0.0054358295
-1767.0717932567602,0.007173646
-1765.4982863124199,0.0076594
-1763.92477936808,0.0040838234
-1762.35127242374,0.006182736
-1760.7777654794002,0.008598514
-1759.20425853506,0.008147973
-1757.63075159072,0.0079071885
-1756.05724464638,0.005232554
-1754.48373770204,0.0075625833
-1752.9102307577,0.0069549023
-1751.33672381336,0.0054729786
-1749.76321686902,0.0040994454
-1748.1897099246798,0.007178901
-1746.61620298034,0.0037710932
-1745.042696036,0.0071221567
-1743.4691890916602,0.0065641897
-1741.8956821473198,0.008489424
-1740.32217520298,0.008776596
-1738.74866825864,0.008840697
-1737.1751613143,0.004378967
-1735.60165436996,0.0061559537
-1734.0281474256199,0.005874744
-1732.45464048128,0.009593233
-1730.88113353694,0.0072773676
-1729.3076265926,0.0060048867
-1727.73411964826,0.007850016
-1726.16061270392,0.011001928
-1724.58710575958,0.008114273
-1723.01359881524,0.00389455
-1721.4400918709,0.0060951044
-1719.86658492656,0.004012488
-1718.2930779822198,0.003403017
-1716.7195710378799,0.004893632
-1715.14606409354,0.0059713535
-1713.5725571492,0.0053959712
-1711.99905020486,0.0063692853
-1710.4255432605198,0.007933666
-1708.85203631618,0.0089276675
-1707.27852937184,0.0071551776
-1705.7050224275,0.008039702
-1704.13151548316,0.007895321
-1702.55800853882,0.00847741
-1700.98450159448,0.006855315
-1699.4109946501399,0.0057635484
-1697.8374877058,0.0063034045
-1696.26398076146,0.008255671
-1694.6904738171202,0.010711596
-1693.1169668727798,0.000912703
-1691.54345992844,0.0063200756
-1689.9699529841,0.009694153
-1688.3964460397601,0.0056254263
-1686.82293909542,0.008318099
-1685.24943215108,0.006594726
-1683.67592520674,0.008558434
-1682.1024182624,0.0062189815
-1680.52891131806,0.007652366
-1678.95540437372,0.008949326
-1677.3818974293802,0.00895668
-1675.8083904850398,0.007189556
-1674.2348835407,0.0037895823
-1672.66137659636,0.0051942356
-1671.0878696520201,0.0066397544
-1669.51436270768,0.0053364933
-1667.9408557633399,0.004793753
-1666.367348819,0.004268518
-1664.79384187466,0.004287073
-1663.22033493032,0.004246167
-1661.64682798598,0.008463175
-1660.07332104164,0.00671197
-1658.4998140973,0.0058798995
-1656.92630715296,0.005222637
-1655.35280020862,0.006184644
-1653.77929326428,0.007353945
-1652.20578631994,0.007685626
-1650.6322793755999,0.0058564814
-1649.05877243126,0.005811406
-1647.48526548692,0.005563949
-1645.9117585425802,0.0032999949
-1644.3382515982398,0.004343133
-1642.7647446539,0.002946983
-1641.19123770956,0.007888425
-1639.61773076522,0.0099600805
-1638.04422382088,0.011617342
-1636.4707168765399,0.010863932
-1634.8972099322,0.0067072404
-1633.3237029878599,0.004473157
-1631.75019604352,0.0071544736
-1630.17668909918,0.009526042
-1628.60318215484,0.0050588436
-1627.0296752104998,0.0041598035
-1625.45616826616,0.0072464477
-1623.88266132182,0.0031912648
-1622.3091543774801,0.0030959512
-1620.7356474331398,0.0057973014
-1619.1621404887999,0.0072482373
-1617.58863354446,0.0067539946
-1616.01512660012,0.009218076
-1614.44161965578,0.010179571
-1612.8681127114398,0.0061224997
-1611.2946057671002,0.0064392365
-1609.72109882276,0.004565723
-1608.14759187842,0.005521369
-1606.57408493408,0.005927624
-1605.0005779897401,0.006494507
-1603.4270710454,0.010976142
-1601.8535641010599,0.0073376577
-1600.28005715672,0.006047858
-1598.70655021238,0.008313667
-1597.13304326804,0.0113059
-1595.5595363237,0.011271105
-1593.98602937936,0.009223762
-1592.41252243502,0.00972193
-1590.83901549068,0.008051979
-1589.26550854634,0.0025154983
-1587.6920016020001,0.0035917372
-1586.11849465766,0.006210533
-1584.5449877133199,0.010081934
-1582.97148076898,0.0130531965
-1581.39797382464,0.010187883
-1579.8244668803002,0.011758035
-1578.2509599359598,0.011663869
-1576.67745299162,0.01044577
-1575.10394604728,0.010130153
-1573.5304391029401,0.006607885
-1571.9569321586,0.0065255286
-1570.38342521426,0.008017793
-1568.80991826992,0.010404998
-1567.2364113255799,0.0073615843
-1565.66290438124,0.009243043
-1564.0893974369,0.009946908
-1562.51589049256,0.0092946375
-1560.9423835482198,0.013232083
-1559.36887660388,0.013549767
-1557.79536965954,0.012007159
-1556.2218627152001,0.011011591
-1554.6483557708598,0.012940054
-1553.0748488265199,0.009775918
-1551.50134188218,0.013338267
-1549.92783493784,0.012853998
-1548.3543279935,0.01575503
